date,description,merchant,amount,category
2025-10-01,NETFLIX.COM,NETFLIX,-15.99,subscriptions
2025-10-02,HULU,HULU,-14.99,subscriptions
2025-10-03,SPOTIFY PREMIUM,SPOTIFY,-9.99,subscriptions
2025-10-04,DISNEY PLUS,DISNEY+,-10.99,subscriptions
2025-10-05,CRUNCHYROLL,CRUNCHYROLL,-7.99,subscriptions
2025-10-06,ADOBE CREATIVE CLOUD,ADOBE,-54.99,subscriptions
2025-10-07,MICROSOFT 365,MICROSOFT 365,-9.99,subscriptions
2025-10-08,NOTION PREMIUM,NOTION,-10.00,subscriptions
2025-10-09,FIGMA PROFESSIONAL,FIGMA,-15.00,subscriptions
2025-10-10,AMAZON MARKETPLACE,AMAZON,-45.50,shopping
2025-10-11,AMAZON PRIME,AMAZON,-14.99,subscriptions
2025-10-12,WALMART SUPERCENTER,WALMART,-125.30,shopping
2025-10-13,TARGET,TARGET,-68.99,shopping
2025-10-14,BEST BUY,BEST BUY,-299.99,shopping
2025-10-15,COSTCO WHOLESALE,COSTCO,-156.75,shopping
2025-10-16,IKEA,IKEA,-89.99,shopping
2025-10-17,KAISER PERMANENTE,KAISER,-30.00,medical
2025-10-18,CVS PHARMACY,CVS,-25.50,medical
2025-10-19,WALGREENS,WALGREENS,-18.75,medical
2025-10-20,RITE AID PHARMACY,RITE AID,-22.00,medical
2025-10-21,STEAM GAMES,STEAM,-59.99,games
2025-10-22,PLAYSTATION NETWORK,PLAYSTATION,-29.99,games
2025-10-23,XBOX STORE,XBOX,-19.99,games
2025-10-24,NINTENDO ESHOP,NINTENDO,-39.99,games
2025-10-25,RIOT GAMES,RIOT GAMES,-25.00,games
2025-10-26,EPIC GAMES STORE,EPIC GAMES,-49.99,games
2025-10-27,ZELLE TO JOHN DOE,ZELLE,-100.00,transfers
2025-10-28,CASH APP PAYMENT,CASH APP,-50.00,transfers
2025-10-29,VENMO PAYMENT,VENMO,-75.00,transfers
2025-10-30,PAYPAL TRANSFER,PAYPAL,-200.00,transfers
2025-10-31,APPLE CASH,APPLE CASH,-30.00,transfers
2025-11-01,WISE TRANSFER,WISE,-500.00,transfers
2025-11-02,NETFLIX.COM,NETFLIX,-15.99,subscriptions
2025-11-03,SPOTIFY PREMIUM,SPOTIFY,-9.99,subscriptions
2025-11-04,AMAZON MARKETPLACE,AMAZON,-32.50,shopping
2025-11-05,WALMART SUPERCENTER,WALMART,-95.25,shopping
2025-11-06,STEAM GAMES,STEAM,-29.99,games
2025-11-07,CVS PHARMACY,CVS,-12.99,medical
2025-11-08,ZELLE TO JANE SMITH,ZELLE,-150.00,transfers
2025-11-09,DISNEY PLUS,DISNEY+,-10.99,subscriptions
2025-11-10,BEST BUY,BEST BUY,-89.99,shopping
